Tanggal,Sku,No. Pesanan,QTY,Asal Gudang,Total ,Sumber,Jenis Penjualan,Kode Sumber
10/13/2020,CAGLI1001,INV/20200928/XX/IX/639426010,1,HQ [Online] - Bintaro,"Rp800,000",Tokopedia,Online,4
10/13/2020,HKISSD12101,INV/20201013/XX/X/650891804,1,TC Jakarta - TokoCabang,"Rp221,500",Tokopedia,Online,4
10/13/2020,ID6808,INV/20201013/XX/X/651141057,1,TC Jakarta - TokoCabang,"Rp384,413",Tokopedia,Online,4
10/14/2020,HKNS16518,INV/20201014/XX/X/651431074,1,TC Jakarta - TokoCabang,"Rp15,500",Tokopedia,Online,4
10/14/2020,HKSD0628,INV/20201014/XX/X/651431074,1,TC Jakarta - TokoCabang,"Rp71,500",Tokopedia,Online,4
10/14/2020,HSG1405,INV/20201014/XX/X/651493852,1,HQ [Online] - Bintaro,"Rp85,000",Tokopedia,Online,4
10/14/2020,HPC0232,INV/20201014/XX/X/651506822,1,HQ [Online] - Bintaro,"Rp77,000",Tokopedia,Online,4
10/14/2020,HSG1405,INV/20201014/XX/X/651550810,1,HQ [Online] - Bintaro,"Rp85,000",Tokopedia,Online,4
